Execution,Time
Not Cached,275,7997512817383
189,95904922485352
160,7508659362793
183,5324764251709
218,21951866149902
183,83383750915527
175,10581016540527
168,12801361083984
157,67383575439453
164,14952278137207
173,77591133117676
164,40486907958984
166,06712341308594
166,8686866760254
167,51766204833984
162,98460960388184
171,03862762451172
185,40525436401367
163,6669635772705
177,21080780029297
187,11328506469727
183,26234817504883
164,7632122039795
176,98955535888672
164,6103858947754
176,39732360839844
174,51786994934082
167,3417091369629
181,39171600341797
175,81892013549805
175,47059059143066
174,26567872365317
