Esecuzione,Tempo (ms)

Non memorizzato nella cache,347,9936122894287

77,54397392272949
53,52783203125
48,34699630737305
43,04242134094238
40,988922119140625
34,55209732055664
34,99412536621094
23,172616958618164
46,35977745056152
90,56997299194336
66,98894500732422
57,58070945739746
40,99464416503906
45,586585998535156
49,00670051574707
31,564712524414062
27,978897094726562
32,99593925476074
13,131141662597656
32,529354095458984
24,001121520996094
24,99675750732422
21,006107330322266
17,565011978149414
16,9980525970459
13,996601104736328
14,008045196533203
11,99483871459961
12,995243072509766
12,001276016235352

Tempo Med35,36731402079264

