Esecuzione,Tempo (ms)

Non memorizzato nella cache 240,1573657989502

67,59214401245117
18,991947174072266
14,99795913696289
15,997648239135742
16,019344329833984
15,546083450317383
15,993833541870117
16,007661819458008
14,996051788330078
12,998104095458984
72,57866859436035
11,98267936706543
12,011289596557617
13,991117477416992
13,363122940063477
13,569831848144531
14,984130859375
16,028165817260742
12,978792190551758
15,008687973022461
12,977361679077148
16,042709350585938
13,563394546508789
11,992692947387695
12,007474899291992
16,000747680664062
17,001867294311523
22,020816802978516
20,28512954711914
15,994787216186523

Tempo Med18,784141540527344

