Esecuzione,Tempo (ms)

Non memorizzato nella cache,480,18383979797363

95,59893608093262
24,558067321777344
25,990724563598633
26,998519897460938
21,357059478759766
19,436120986938477
17,99488067626953
18,00370216369629
20,993709564208984
27,022361755371094
135,1950168609619
24,98626708984375
47,04999923706055
27,562379837036133
27,003765106201172
28,020381927490234
24,55282211303711
20,99919319152832
22,005558013916016
25,005102157592773
25,039196014404297
28,56278419494629
28,000831604003906
26,000499725341797
28,577327728271484
27,99201011657715
32,00531005859375
29,034852981567383
33,58197212219238
27,012348175048828

Tempo Med32,2047233581543

