Esecuzione,Tempo (ms)

Non memorizzato nella cache,190,9785270690918

68,0077075958252
23,619413375854492
15,978336334228516
16,007661819458008
14,993667602539062
15,000343322753906
14,013528823852539
15,01774787902832
13,172388076782227
12,98832893371582
48,00057411193848
13,004302978515625
12,041330337524414
12,528657913208008
11,999845504760742
11,995792388916016
10,996103286743164
12,000560760498047
12,01009750366211
13,998985290527344
12,02392578125
11,514425277709961
11,023759841918945
10,005474090576172
9,996652603149414
10,997295379638672
11,00301742553711
11,991024017333984
10,013103485107422
8,992433547973633

Tempo Med 15,831216176350912

